school_id,name
自动化学院,自动化学院
未知学院,未知学院
Dept Automat,Dept Automat
艺术与设计学院,艺术与设计学院
Informat Engn,Informat Engn
机电工程学院,机电工程学院
Guagnzhou,Guagnzhou
计算机学院,计算机学院
集成电路学院,集成电路学院
Univ Town Campus,Univ Town Campus
Guangdong,Guangdong
管理学院,管理学院
Sch Appl Math,Sch Appl Math
信息工程学院,信息工程学院
Dept Comp Sci,Dept Comp Sci
物理与光电工程学院,物理与光电工程学院
Sch IC,Sch IC
材料与能源学院,材料与能源学院
数学与统计学院,数学与统计学院
轻工化工学院,轻工化工学院
Guangdong 510006,Guangdong 510006
Inst Mfg Technol,Inst Mfg Technol
Dept Comp,Dept Comp
Sch Econ,Sch Econ
Dept Appl Phys,Dept Appl Phys
Dept Automation,Dept Automation
Dept Bioengn,Dept Bioengn
Expt Ctr,Expt Ctr
土木与交通工程学院,土木与交通工程学院
Inst Automat,Inst Automat
Guangdong 510090,Guangdong 510090
Inst Informat Engn,Inst Informat Engn
Financial Dept,Financial Dept
Sch Mech & Elect Engn,Sch Mech & Elect Engn
环境科学与工程学院,环境科学与工程学院
Dept Phys & Optoelect Engn,Dept Phys & Optoelect Engn
Dept Expt Educ,Dept Expt Educ
Appl Math Sch,Appl Math Sch
Dept Management,Dept Management
Sch Finance,Sch Finance
Mech Engn,Mech Engn
Dmir Lab,Dmir Lab
Dept Math & Phys,Dept Math & Phys
Fac Mat & Energy,Fac Mat & Energy
Fac Appl Phys,Fac Appl Phys
Dept Ind Design,Dept Ind Design
Huali Coll,Huali Coll
Dept Mech & Elect Engn,Dept Mech & Elect Engn
Coll Informat Engn,Coll Informat Engn
Dept Civil Engn,Dept Civil Engn
Dept Chem Engn & Light Ind,Dept Chem Engn & Light Ind
Law Sch,Law Sch
Automat Coll,Automat Coll
Coll Appl Math,Coll Appl Math
Dept Architecture,Dept Architecture
Fac Apllied Math,Fac Apllied Math
State Key Lab Precis Elect Mfg Technol & Equipment,State Key Lab Precis Elect Mfg Technol & Equipment
Sch Architecture & Urban Planning,Sch Architecture & Urban Planning
Fac Environm Sci & Engn,Fac Environm Sci & Engn
Dept Surveying,Dept Surveying
Expt Study Ctr,Expt Study Ctr
HUALI Coll,HUALI Coll
Fac Appl Math,Fac Appl Math
Sch Biomed & Pharmaceut Sci,Sch Biomed & Pharmaceut Sci
Automat Sch,Automat Sch
ME Dept,ME Dept
Dept Math,Dept Math
Fac Math & Stat,Fac Math & Stat
PE Dept,PE Dept
Fac Informat Engn,Fac Informat Engn
Dept Mechatron Engn,Dept Mechatron Engn
Comp Fac,Comp Fac
Faulty Comp,Faulty Comp
Automat Inst,Automat Inst
Fac Construct,Fac Construct
Comp Inst,Comp Inst
BIRL,BIRL
Dept English,Dept English
Sch Marxism,Sch Marxism
Dept Electromech Engn,Dept Electromech Engn
Automat Dept,Automat Dept
Automat Fac,Automat Fac
Math & Stat,Math & Stat
Jieyang,Jieyang
Sch Foreign Languages,Sch Foreign Languages
Sch Elecromech Engn,Sch Elecromech Engn
Sch Microelect,Sch Microelect
Coll Comp,Coll Comp
Construct Fac,Construct Fac
Dept Chem Engn,Dept Chem Engn
Int Automat,Int Automat
Informat Engn Coll,Informat Engn Coll
Sch Maxism,Sch Maxism
Ctr Labs,Ctr Labs
Faulty Appl Math,Faulty Appl Math
Acad Automat,Acad Automat
Sch Elect Engn,Sch Elect Engn
Guangdong CIMS Prov Key Lab,Guangdong CIMS Prov Key Lab
Dept Elect Engn,Dept Elect Engn
Dept Phys,Dept Phys
Coll Comp Sci,Coll Comp Sci
Inst Intelligent Engn,Inst Intelligent Engn
Engn Bldg 2,Engn Bldg 2
Sch Math,Sch Math
HuaLi Coll,HuaLi Coll
Syst Engn Inst,Syst Engn Inst
Informat Engn Inst,Informat Engn Inst
Dept Ind Engn,Dept Ind Engn
Sch Business,Sch Business
Dept Mat Sci & Engn,Dept Mat Sci & Engn
Expt Teaching Ctr,Expt Teaching Ctr
State Key Lab High Performance Tool,State Key Lab High Performance Tool
Sch Phys Educ,Sch Phys Educ
Sch Phys & Opto Elect Engn,Sch Phys & Opto Elect Engn
Dept Elect Mech Engn,Dept Elect Mech Engn
Dept Environm Engn,Dept Environm Engn
Sch Biomed Pharmaceut Sci,Sch Biomed Pharmaceut Sci
Architectural & Planning Design Inst Co Ltd,Architectural & Planning Design Inst Co Ltd
Fac Electrochem Engn,Fac Electrochem Engn
Biomimet & Intelligent Robot Lab BIRL,Biomimet & Intelligent Robot Lab BIRL
729 Dongfeng East Rd,729 Dongfeng East Rd
Dept Appl Math,Dept Appl Math
161 Yinglong Rd,161 Yinglong Rd
Art Design Coll,Art Design Coll
Digital Media Dept,Digital Media Dept
Mech & Elect Engn,Mech & Elect Engn
Ctr Gen Educ,Ctr Gen Educ
Ctr Anal & Testing,Ctr Anal & Testing
Dept Engn Management,Dept Engn Management
Inst Comp Sci,Inst Comp Sci
Informat Engn Sch,Informat Engn Sch
Inst Adv Mfg,Inst Adv Mfg
Sch Arts Design,Sch Arts Design
Dept Informat Engn,Dept Informat Engn
Coll Mat & Energy,Coll Mat & Energy
Sch Mechatron Engn,Sch Mechatron Engn
Mat & Energy Sch,Mat & Energy Sch
Web Ident Secur Lab,Web Ident Secur Lab
Res Inst Syst Engn,Res Inst Syst Engn
Dept Architecture & Urban Planning,Dept Architecture & Urban Planning
Dept Civil & Transportat Engn,Dept Civil & Transportat Engn
Coll Business,Coll Business
Sch Econ & Management,Sch Econ & Management
Syst Eng Inst,Syst Eng Inst
Dept Math Appl,Dept Math Appl
Sch Adv Mfg,Sch Adv Mfg
Sch Informat & Engn,Sch Informat & Engn
Sch Phys & Photoelect Engn,Sch Phys & Photoelect Engn
Informat Engn Fac,Informat Engn Fac
Fac Light & Chem,Fac Light & Chem
Dept Automat Control,Dept Automat Control
Sch Econ & Trade,Sch Econ & Trade
Surveying Engn,Surveying Engn
Inst Engn Mech,Inst Engn Mech
Fac Mech Engn,Fac Mech Engn
Coll Econ & Management,Coll Econ & Management
Sch Econ & Commerce,Sch Econ & Commerce
Dept Informat,Dept Informat
Dept Mech & Elect Eng,Dept Mech & Elect Eng
Fac Mech & Elect Engn,Fac Mech & Elect Engn
Dept Expt Teaching,Dept Expt Teaching
Dept Mat & Energy,Dept Mat & Energy
729 Dongfeng Rd,729 Dongfeng Rd
Dept Phys & Opt Engn,Dept Phys & Opt Engn
Mechatron Fac,Mechatron Fac
Fac Econ & Management,Fac Econ & Management
Higher Educ Mega Ctr,Higher Educ Mega Ctr
Yinglong Rd,Yinglong Rd
Fac Elect Engn,Fac Elect Engn
Analyt Testing Ctr,Analyt Testing Ctr
Dept Digital Media,Dept Digital Media
Coll Art & design,Coll Art & design
Inst Geotech Engn,Inst Geotech Engn
111 Panyu Dist,111 Panyu Dist
Col Informat Engn,Col Informat Engn
Dept Surveying Engn,Dept Surveying Engn
Inst Geotech Engrg,Inst Geotech Engrg
Surveying & Mapping Dept,Surveying & Mapping Dept
Inst Syst Technol,Inst Syst Technol
Elect Engn & Automation,Elect Engn & Automation
Ctr Geotech Engn,Ctr Geotech Engn
Coll Management,Coll Management
Fac Construct Engn,Fac Construct Engn
Ctr Network Informat & Modern Educ Technol,Ctr Network Informat & Modern Educ Technol
Dept Mech Engn,Dept Mech Engn
Fac Civil & Transportat Engn,Fac Civil & Transportat Engn
Res Inst Integrated Circuit Innovat,Res Inst Integrated Circuit Innovat
Inst Mold Engn,Inst Mold Engn
Coll Math & Stat,Coll Math & Stat
Coll Biol & Pharmaceut Sci,Coll Biol & Pharmaceut Sci
Fac Mechatron Engn,Fac Mechatron Engn
Fac Math & Energy,Fac Math & Energy
Sch Phys & Optoelectron Engn,Sch Phys & Optoelectron Engn
GDUT,GDUT
Inst construct,Inst construct
Fac Chem Engn & Light Ind,Fac Chem Engn & Light Ind
Fac Light Ind & Chem Engn,Fac Light Ind & Chem Engn
State Key Lab Precis Elect Mfg Technol & Equipmen,State Key Lab Precis Elect Mfg Technol & Equipmen
Sch Light Ind & Chem Engn,Sch Light Ind & Chem Engn
Dept Environm Sci & Engn,Dept Environm Sci & Engn
Dept Comp Sci & Engn,Dept Comp Sci & Engn
Sch Ecol Environm & Resources,Sch Ecol Environm & Resources
Inst Biomed & Pharmaceut Sci,Inst Biomed & Pharmaceut Sci
Mat & Energy Inst,Mat & Energy Inst
Sch Mechatron,Sch Mechatron
Coll Mechatron Engn,Coll Mechatron Engn
Sch Electro Mech Engn,Sch Electro Mech Engn
Coll Phys Educ,Coll Phys Educ
Mega Educ Ctr South,Mega Educ Ctr South
Dept Comp Engn,Dept Comp Engn
